Company_Name,City,State,Persona,Industry,Q1_Customer_Discovery,Q1.2_Retail_Marketplaces,Q1.3_Digital_Trade,Q1.1_Manual_Methods,Q1.4_Quick_Commerce,Q1.5_Gov_Portals,Q2_Communication,Q2.2_CRM_Software,Q3_Feedback,Q3.1_Ticketing_Tool,Q4_Repeat_Customers,Q4.1_Repeat_Tracking_Tool,Q5_Drop_offs,Q5.1_Drop_off_Tool,Q6_Internal_Operations,Q6.1_Digital_Areas,Q6.1.1_Productivity_Tools,Q6.1.2_Sales_Marketing_Tools,Q6.1.3_Operations_Tools,Q6.1.4_Inventory_Tools,Q6.1.5_Manufacturing_Tools,Q6.1.6_Supply_Chain_Tools,Q6.1.8_Accounting_Tools,Q6.1.9_Analytics_Tools,Q6.2_Cloud_Deployment,Q6.2.1_Cloud_Details,Q6.3_Integration,Q7_Document_Management,Q8_Backup_Frequency,Q9_Historical_Data,Q10_Data_Consistency,Q11_Manufacturing_Automated,Q12_Machines_Integrated,Q13_Data_Quality,Q14_Data_Security,Q15_AI_Usage,Q15.1.1_AI_Productivity,Q15.1.9_AI_Accounting,Q16_AI_Training,Q17_AI_Roadmap,Q18_AI_Investment,Maturity_Score,Maturity_Category
Desai LLC,Pondicherry,Himachal Pradesh,Transitioning MSME,Retail,Digital Trade Platforms,N/A,"IndiaMART, TradeIndia",N/A,N/A,N/A,Basic Customer Software (Standard or Custom made),N/A,Recorded manually in a diary or register,N/A,We track repeat customers manually using basic digital tools,N/A,We track customer drop-offs informally or manually,N/A,Digitally (using Software/Tools),"Accounting & Finance, Sales & Marketing",N/A,WATI,N/A,N/A,N/A,N/A,Tally Prime,N/A,On Premises Software Systems,N/A,Partially integrated,Cloud Storage,Occasionally (Only When Someone Remembers),No,No,Not Applicable,Not Applicable,Basic checks done manually,Basic security measures in place,We are exploring or learning about AI,N/A,N/A,Informal guidance,Informal plans,Maybe,30.0,Digital Laggard
"Saha, Chakraborty and Guha",Rajpur Sonarpur,Uttarakhand,Traditionalist,Retail,Manual / Partially Digital,N/A,N/A,Word of mouth only,N/A,N/A,Manually (Phone calls/In-person),N/A,No formal recording (Verbal only),N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Occasionally (Only When Someone Remembers),No,No,Not Applicable,Not Applicable,No defined process for data accuracy,Minimal / ad-hoc,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,Maybe,3.3,Digital Laggard
Sundaram-Varty,Pimpri-Chinchwad,Mizoram,Transitioning MSME,Services,Digital Trade Platforms,N/A,"IndiaMART, TradeIndia",N/A,N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,Recorded in Excel/Spreadsheets,N/A,We track repeat customers manually using basic digital tools,N/A,We do not track customer drop-offs,N/A,Digitally (using Software/Tools),"Accounting & Finance, Inventory Management, General Productivity & Office Work",Trello,N/A,N/A,Vyapar Inventory,N/A,N/A,Zoho Books,N/A,Partly On-Premises /Cloud Based,AWS (Amazon Web Services),Not integrated,Cloud Storage,Occasionally (Only When Someone Remembers),No,Yes,Not Applicable,Not Applicable,Regular reviews or validations,Basic security measures in place,"No, we do not currently use AI",N/A,N/A,No guidelines,Informal plans,Maybe,33.3,Digital Laggard
Bhatti LLC,Bhavnagar,Tripura,Traditionalist,Manufacturing,Manual / Partially Digital,N/A,N/A,"Social Media (WhatsApp, Facebook, Instagram)",N/A,N/A,Manually (Phone calls/In-person),N/A,No formal recording (Verbal only),N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Occasionally (Only When Someone Remembers),No,No,No,No,No defined process for data accuracy,Minimal / ad-hoc,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,Maybe,3.3,Digital Laggard
"Balakrishnan, Ghose and Hans",Howrah,Haryana,Tech-Savvy Digital Native,Services,Digital Trade Platforms,N/A,"IndiaMART, TradeIndia",N/A,N/A,N/A,Advanced Digital Software / CRM Software,Zoho CRM,Managed through a digital ticketing system or CRM,Freshdesk,We track repeat customers through advanced digital tools,Zoho CRM,We track customer drop-offs using basic/advanced digital tools,Mailchimp,Digitally (using Software/Tools),"Data, Reporting & Analytics, Accounting & Finance, Inventory Management, General Productivity & Office Work, Supply Chain & Procurement, Sales & Marketing, Manufacturing & Production","Trello, Slack",LeadSquared,N/A,Zoho Inventory,Zoho ERP for Manufacturing,Locus,Zoho Books,Microsoft Power BI,Fully managed by software vendors/service providers,Google Cloud Platform (GCP),Partially integrated,Document management system (DMS),Automatically (Daily or Real-time),Yes,Yes,Not Applicable,Not Applicable,Data quality is continuously monitored,Advanced security with regular assessments,We use AI in a few specific or pilot use cases,"ChatGPT, Notion AI",Power BI,SOPs Training and awareness programs,Defined roadmap,Yes,80.0,Digital Leader
Shan Inc,Davanagere,Himachal Pradesh,Transitioning MSME,Manufacturing,Digital Trade Platforms,N/A,"IndiaMART, TradeIndia",N/A,N/A,N/A,Basic Customer Software (Standard or Custom made),N/A,Recorded manually in a diary or register,N/A,We track repeat customers manually using basic digital tools,N/A,We do not track customer drop-offs,N/A,Digitally (using Software/Tools),"Sales & Marketing, Accounting & Finance",N/A,Interakt,N/A,N/A,N/A,N/A,Zoho Books,N/A,Partly On-Premises /Cloud Based,N/A,Not integrated,Cloud Storage,Regularly (Weekly or Monthly),Yes,No,No,No,Regular reviews or validations,Defined security policies and controls,We are exploring or learning about AI,Gemini,N/A,Informal guidance,Informal plans,Yes,46.7,Digital Adopter
Shetty-Tiwari,Amravati,Sikkim,Transitioning MSME,Services,Digital Trade Platforms,N/A,IndiaMART,N/A,N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,Recorded in Excel/Spreadsheets,N/A,We track repeat customers manually using basic digital tools,N/A,We track customer drop-offs informally or manually,N/A,Digitally (using Software/Tools),"Inventory Management, Sales & Marketing, General Productivity & Office Work",Slack,WATI,N/A,N/A,N/A,N/A,N/A,N/A,Cloud based Software systems,N/A,Partially integrated,Digital files on local devices,Occasionally (Only When Someone Remembers),Yes,No,Not Applicable,Not Applicable,Regular reviews or validations,Defined security policies and controls,We use AI in a few specific or pilot use cases,ChatGPT,ChatGPT,No guidelines,Informal plans,Yes,56.7,Digital Adopter
Khurana LLC,Hindupur,Manipur,Transitioning MSME,Manufacturing,Digital Trade Platforms,N/A,"IndiaMART, TradeIndia",N/A,N/A,N/A,Basic Customer Software (Standard or Custom made),N/A,Recorded in Excel/Spreadsheets,N/A,We track repeat customers manually using basic digital tools,N/A,We do not track customer drop-offs,N/A,Digitally (using Software/Tools),"Sales & Marketing, Inventory Management",N/A,N/A,N/A,Vyapar Inventory,N/A,N/A,N/A,N/A,Partly On-Premises /Cloud Based,Zoho Cloud,Partially integrated,Cloud Storage,Occasionally (Only When Someone Remembers),No,Yes,No,No,Regular reviews or validations,Basic security measures in place,We use AI in a few specific or pilot use cases,ChatGPT,Tally Prime,No guidelines,Informal plans,Yes,50.0,Digital Adopter
Som PLC,Hapur,Goa,Traditionalist,Services,Manual / Partially Digital,N/A,N/A,Word of mouth only,N/A,N/A,Manually (Phone calls/In-person),N/A,Recorded manually in a diary or register,N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Occasionally (Only When Someone Remembers),No,No,Not Applicable,Not Applicable,No defined process for data accuracy,Basic security measures in place,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,No,3.3,Digital Laggard
Chana-Mane,Kharagpur,Arunachal Pradesh,Tech-Savvy Digital Native,Finance,Digital Trade Platforms,"Amazon, Flipkart",TradeIndia,N/A,N/A,N/A,Advanced Digital Software / CRM Software,Zoho CRM,Managed through a digital ticketing system or CRM,Salesforce Service Cloud,We track repeat customers through advanced digital tools,Zoho CRM,We track customer drop-offs using basic/advanced digital tools,Zoho CRM,Digitally (using Software/Tools),"Manufacturing & Production, Data, Reporting & Analytics, Accounting & Finance, Supply Chain & Procurement",N/A,N/A,N/A,N/A,ERPNext,ERPNext,Tally Prime,Google Looker Studio,Cloud based Software systems,AWS (Amazon Web Services),Fully integrated,Cloud Storage,Regularly (Weekly or Monthly),Yes,Yes,Not Applicable,Not Applicable,Automated checks,Advanced security with regular assessments,We use AI in a few specific or pilot use cases,"ChatGPT, Notion AI",Tableau,SOPs Training and awareness programs,Actively executing roadmap,Yes,83.3,Digital Leader
Kala and Sons,Tiruppur,Himachal Pradesh,Traditionalist,Retail,Manual / Partially Digital,N/A,N/A,Word of mouth only,N/A,N/A,Manually (Phone calls/In-person),N/A,Recorded manually in a diary or register,N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Never,No,No,Not Applicable,Not Applicable,No defined process for data accuracy,Minimal / ad-hoc,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,No,0.0,Digital Laggard
"Rout, Varghese and Bahri",Bhalswa Jahangir Pur,Chhattisgarh,Traditionalist,Manufacturing,Manual / Partially Digital,N/A,N/A,"Social Media (WhatsApp, Facebook, Instagram)",N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,No formal recording (Verbal only),N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Never,No,No,No,No,No defined process for data accuracy,Basic security measures in place,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,No,3.3,Digital Laggard
"Ghose, Anand and Kapur",Narasaraopet,Uttar Pradesh,Traditionalist,Retail,Manual / Partially Digital,N/A,N/A,"Social Media (WhatsApp, Facebook, Instagram)",N/A,N/A,Manually (Phone calls/In-person),N/A,Recorded manually in a diary or register,N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Never,No,No,Not Applicable,Not Applicable,No defined process for data accuracy,Minimal / ad-hoc,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,No,0.0,Digital Laggard
Maharaj-Sampath,Karnal,Manipur,Transitioning MSME,Manufacturing,Online Retail Marketplaces,"Amazon, Flipkart",N/A,N/A,N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,Recorded in Excel/Spreadsheets,N/A,We track repeat customers manually using basic digital tools,N/A,We do not track customer drop-offs,N/A,Digitally (using Software/Tools),"Accounting & Finance, General Productivity & Office Work, Sales & Marketing",N/A,N/A,N/A,N/A,N/A,N/A,Zoho Books,N/A,Cloud based Software systems,N/A,Not integrated,Cloud Storage,Regularly (Weekly or Monthly),No,No,No,No,Basic checks done manually,Defined security policies and controls,We are exploring or learning about AI,N/A,N/A,Informal guidance,Informal plans,Yes,46.7,Digital Adopter
Kamdar-Shukla,Saharsa,Uttarakhand,Tech-Savvy Digital Native,Services,Government Portals,"Amazon, Flipkart",N/A,N/A,N/A,N/A,Advanced Digital Software / CRM Software,Freshworks CRM,Managed through a digital ticketing system or CRM,Salesforce Service Cloud,We track repeat customers through advanced digital tools,HubSpot CRM,We track customer drop-offs using basic/advanced digital tools,Bounce/drop-off pages,Digitally (using Software/Tools),"Accounting & Finance, Supply Chain & Procurement, Operations & Process Management, General Productivity & Office Work","Asana, Notion",N/A,Zoho One,N/A,N/A,Zoho Inventory,Zoho Books,N/A,Cloud based Software systems,AWS (Amazon Web Services),Partially integrated,Cloud Storage,Automatically (Daily or Real-time),Yes,Yes,Not Applicable,Not Applicable,Data quality is continuously monitored,Advanced security with regular assessments,"Yes, AI is actively used across multiple business functions",Zoom AI,Power BI,SOPs Training and awareness programs,Defined roadmap,Yes,90.0,Digital Leader
"Ranganathan, Chaudry and Amble",Kishanganj,Rajasthan,Transitioning MSME,Services,Digital Trade Platforms,N/A,IndiaMART,N/A,N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,Recorded in Excel/Spreadsheets,N/A,We track repeat customers manually using basic digital tools,N/A,We do not track customer drop-offs,N/A,Digitally (using Software/Tools),Sales & Marketing,N/A,WATI,N/A,N/A,N/A,N/A,N/A,N/A,Partly On-Premises /Cloud Based,Zoho Cloud,Partially integrated,Cloud Storage,Occasionally (Only When Someone Remembers),No,No,Not Applicable,Not Applicable,Regular reviews or validations,Defined security policies and controls,"No, we do not currently use AI",N/A,N/A,Informal guidance,Informal plans,Maybe,40.0,Digital Adopter
"Mandal, Misra and Chokshi",Rajkot,Karnataka,Tech-Savvy Digital Native,Manufacturing,Government Portals,N/A,N/A,N/A,N/A,N/A,Advanced Digital Software / CRM Software,Freshworks CRM,Managed through a digital ticketing system or CRM,Salesforce Service Cloud,We track repeat customers through advanced digital tools,Zoho CRM,We track customer drop-offs using basic/advanced digital tools,"Abandoned carts, HubSpot CRM",Digitally (using Software/Tools),"General Productivity & Office Work, Inventory Management, Operations & Process Management, Sales & Marketing, Accounting & Finance, Manufacturing & Production, Data, Reporting & Analytics","Trello, Slack",HubSpot,ERPNext,ERPNext,Zoho ERP for Manufacturing,N/A,Tally Prime,Zoho Analytics,Fully managed by software vendors/service providers,Microsoft Azure,Fully integrated,Document management system (DMS),Regularly (Weekly or Monthly),Yes,Yes,Yes,Yes,Data quality is continuously monitored,Advanced security with regular assessments,We use AI in a few specific or pilot use cases,"ChatGPT, Notion AI",Power BI,Documented policies,Actively executing roadmap,Yes,86.7,Digital Leader
Nair-Malhotra,Bihar Sharif,Gujarat,Transitioning MSME,IT,Online Retail Marketplaces,"Amazon, Flipkart",N/A,N/A,N/A,N/A,Basic Customer Software (Standard or Custom made),N/A,Recorded manually in a diary or register,N/A,We track repeat customers manually using basic digital tools,N/A,We track customer drop-offs informally or manually,N/A,Digitally (using Software/Tools),"Accounting & Finance, General Productivity & Office Work, Inventory Management",Zoho Workplace,N/A,N/A,N/A,N/A,N/A,Zoho Books,N/A,Cloud based Software systems,N/A,Partially integrated,Cloud Storage,Regularly (Weekly or Monthly),Yes,No,Not Applicable,Not Applicable,Basic checks done manually,Basic security measures in place,We are exploring or learning about AI,N/A,Tally Prime,No guidelines,No roadmap,Maybe,50.0,Digital Adopter
Varughese and Sons,Ghaziabad,Madhya Pradesh,Transitioning MSME,Retail,Digital Trade Platforms,N/A,IndiaMART,N/A,N/A,N/A,Basic Customer Software (Standard or Custom made),N/A,Recorded in Excel/Spreadsheets,N/A,We track repeat customers manually using basic digital tools,N/A,We track customer drop-offs informally or manually,N/A,Digitally (using Software/Tools),"General Productivity & Office Work, Accounting & Finance, Inventory Management",Slack,N/A,N/A,Vyapar Inventory,N/A,N/A,Zoho Books,N/A,Partly On-Premises /Cloud Based,AWS (Amazon Web Services),Not integrated,Cloud Storage,Regularly (Weekly or Monthly),Yes,No,Not Applicable,Not Applicable,Regular reviews or validations,Defined security policies and controls,"No, we do not currently use AI",N/A,N/A,Informal guidance,Informal plans,Yes,43.3,Digital Adopter
"Nagarajan, Dey and Bal",Sagar,Himachal Pradesh,Traditionalist,Manufacturing,Manual / Partially Digital,N/A,N/A,"Social Media (WhatsApp, Facebook, Instagram)",N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,Recorded manually in a diary or register,N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Occasionally (Only When Someone Remembers),No,No,No,No,No defined process for data accuracy,Minimal / ad-hoc,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,No,0.0,Digital Laggard
Ravel-Rama,Ballia,Tamil Nadu,Tech-Savvy Digital Native,Finance,Quick Commerce Platforms,"Amazon, Flipkart",N/A,N/A,"Blinkit, Swiggy Instamart",N/A,Advanced Digital Software / CRM Software,"Zoho CRM, HubSpot CRM",Managed through a digital ticketing system or CRM,Zoho Desk,We track repeat customers through advanced digital tools,"Zoho CRM, Freshsales",We track customer drop-offs using basic/advanced digital tools,HubSpot CRM,Digitally (using Software/Tools),"Supply Chain & Procurement, Data, Reporting & Analytics, General Productivity & Office Work, Accounting & Finance, Manufacturing & Production, Operations & Process Management","Zoho Workplace, Slack",N/A,Microsoft Power Automate,N/A,ERPNext,Zoho Inventory,Zoho Books,Google Looker Studio,Fully managed by software vendors/service providers,Google Cloud Platform (GCP),Partially integrated,Cloud Storage,Automatically (Daily or Real-time),Yes,Yes,Not Applicable,Not Applicable,Data quality is continuously monitored,Advanced security with regular assessments,AI is central to our core decision-making,"Gemini, Workspace",Tableau,SOPs Training and awareness programs,Defined roadmap,Yes,90.0,Digital Leader
"Gupta, Oza and Kapadia",Secunderabad,Mizoram,Traditionalist,Manufacturing,Manual / Partially Digital,N/A,N/A,"Social Media (WhatsApp, Facebook, Instagram)",N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,Recorded manually in a diary or register,N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Never,No,No,No,No,No defined process for data accuracy,Basic security measures in place,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,Maybe,6.7,Digital Laggard
Garde-Golla,Jalandhar,Meghalaya,Traditionalist,Services,Manual / Partially Digital,N/A,N/A,Word of mouth only,N/A,N/A,Manually (Phone calls/In-person),N/A,No formal recording (Verbal only),N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Occasionally (Only When Someone Remembers),No,No,Not Applicable,Not Applicable,No defined process for data accuracy,Basic security measures in place,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,No,3.3,Digital Laggard
Kuruvilla Ltd,Thanjavur,Rajasthan,Traditionalist,Retail,Manual / Partially Digital,N/A,N/A,"Social Media (WhatsApp, Facebook, Instagram)",N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,No formal recording (Verbal only),N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Occasionally (Only When Someone Remembers),No,No,Not Applicable,Not Applicable,No defined process for data accuracy,Minimal / ad-hoc,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,No,0.0,Digital Laggard
Kapadia LLC,Aizawl,Maharashtra,Transitioning MSME,Services,Digital Trade Platforms,N/A,IndiaMART,N/A,N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,Recorded manually in a diary or register,N/A,We track repeat customers manually using basic digital tools,N/A,We do not track customer drop-offs,N/A,Digitally (using Software/Tools),Inventory Management,N/A,N/A,N/A,myBillBook,N/A,N/A,N/A,N/A,Cloud based Software systems,Zoho Cloud,Not integrated,Digital files on local devices,Occasionally (Only When Someone Remembers),No,Yes,Not Applicable,Not Applicable,Regular reviews or validations,Defined security policies and controls,"No, we do not currently use AI",N/A,N/A,No guidelines,Informal plans,Yes,43.3,Digital Adopter
Prabhu-Lad,Madhyamgram,West Bengal,Traditionalist,Services,Manual / Partially Digital,N/A,N/A,Word of mouth only,N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,No formal recording (Verbal only),N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Occasionally (Only When Someone Remembers),No,No,Not Applicable,Not Applicable,No defined process for data accuracy,Minimal / ad-hoc,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,Maybe,3.3,Digital Laggard
Singhal Inc,Chittoor,Gujarat,Traditionalist,Services,Manual / Partially Digital,N/A,N/A,"Social Media (WhatsApp, Facebook, Instagram)",N/A,N/A,Manually (Phone calls/In-person),N/A,No formal recording (Verbal only),N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Occasionally (Only When Someone Remembers),No,No,Not Applicable,Not Applicable,No defined process for data accuracy,Minimal / ad-hoc,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,No,0.0,Digital Laggard
"Dar, Raj and Wagle",Haridwar,Arunachal Pradesh,Tech-Savvy Digital Native,Finance,Online Retail Marketplaces,Amazon,"IndiaMART, TradeIndia",N/A,N/A,N/A,Advanced Digital Software / CRM Software,Zoho CRM,Managed through a digital ticketing system or CRM,Salesforce Service Cloud,We track repeat customers through advanced digital tools,"Zoho CRM, Freshsales",We track customer drop-offs using basic/advanced digital tools,Zoho CRM,Digitally (using Software/Tools),"Accounting & Finance, Sales & Marketing, Data, Reporting & Analytics, General Productivity & Office Work, Operations & Process Management, Supply Chain & Procurement","Asana, Notion",LeadSquared,ERPNext,N/A,N/A,Locus,Zoho Books,Zoho Analytics,Fully managed by software vendors/service providers,Microsoft Azure,Fully integrated,Cloud Storage,Automatically (Daily or Real-time),Yes,Yes,Not Applicable,Not Applicable,Data quality is continuously monitored,Advanced security with regular assessments,We use AI in a few specific or pilot use cases,Zoom AI,Tableau,SOPs Training and awareness programs,Defined roadmap,Yes,83.3,Digital Leader
Devan and Sons,Alappuzha,Odisha,Tech-Savvy Digital Native,Retail,Government Portals,N/A,"IndiaMART, TradeIndia",N/A,N/A,GeM – Government e-Marketplace,Advanced Digital Software / CRM Software,HubSpot CRM,Managed through a digital ticketing system or CRM,Freshdesk,We track repeat customers through advanced digital tools,HubSpot CRM,We track customer drop-offs using basic/advanced digital tools,"Abandoned carts, HubSpot CRM",Digitally (using Software/Tools),"Operations & Process Management, Manufacturing & Production, General Productivity & Office Work, Sales & Marketing, Accounting & Finance","Zoho Workplace, Slack",LeadSquared,Zoho One,N/A,ERPNext,N/A,Zoho Books,N/A,Cloud based Software systems,Google Cloud Platform (GCP),Fully integrated,Document management system (DMS),Automatically (Daily or Real-time),Yes,Yes,Not Applicable,Not Applicable,Automated checks,Advanced security with regular assessments,We use AI in a few specific or pilot use cases,"Gemini, Workspace",Tableau,Documented policies,Defined roadmap,Yes,86.7,Digital Leader
Dhar-Mutti,Jodhpur,Meghalaya,Traditionalist,Retail,Manual / Partially Digital,N/A,N/A,Word of mouth only,N/A,N/A,Manually (Phone calls/In-person),N/A,Recorded manually in a diary or register,N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Never,No,No,Not Applicable,Not Applicable,No defined process for data accuracy,Basic security measures in place,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,Maybe,6.7,Digital Laggard
Goel-Munshi,Kolkata,Manipur,Transitioning MSME,Manufacturing,Digital Trade Platforms,N/A,IndiaMART,N/A,N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,Recorded in Excel/Spreadsheets,N/A,We track repeat customers manually using basic digital tools,N/A,We do not track customer drop-offs,N/A,Digitally (using Software/Tools),"General Productivity & Office Work, Inventory Management",Trello,N/A,N/A,Vyapar Inventory,N/A,N/A,N/A,N/A,On Premises Software Systems,N/A,Partially integrated,Digital files on local devices,Occasionally (Only When Someone Remembers),Yes,Yes,No,No,Basic checks done manually,Basic security measures in place,We are exploring or learning about AI,ChatGPT,ChatGPT,Informal guidance,Informal plans,Maybe,36.7,Digital Adopter
Kadakia-Ganguly,Unnao,Uttar Pradesh,Tech-Savvy Digital Native,Finance,Government Portals,"Amazon, Flipkart","IndiaMART, TradeIndia",N/A,N/A,GeM – Government e-Marketplace,Advanced Digital Software / CRM Software,Freshworks CRM,Managed through a digital ticketing system or CRM,Salesforce Service Cloud,We track repeat customers through advanced digital tools,Freshsales,We track customer drop-offs using basic/advanced digital tools,Bounce/drop-off pages,Digitally (using Software/Tools),"Supply Chain & Procurement, Manufacturing & Production, Data, Reporting & Analytics, General Productivity & Office Work, Inventory Management, Sales & Marketing","Trello, Slack",LeadSquared,N/A,Zoho Inventory,ERPNext,ERPNext,N/A,Google Looker Studio,Cloud based Software systems,AWS (Amazon Web Services),Partially integrated,Cloud Storage,Regularly (Weekly or Monthly),Yes,Yes,Not Applicable,Not Applicable,Data quality is continuously monitored,Advanced security with regular assessments,"Yes, AI is actively used across multiple business functions","ChatGPT, Notion AI",Power BI,Documented policies,Actively executing roadmap,Yes,90.0,Digital Leader
Dayal PLC,Haldia,Madhya Pradesh,Traditionalist,Manufacturing,Manual / Partially Digital,N/A,N/A,"Social Media (WhatsApp, Facebook, Instagram)",N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,Recorded manually in a diary or register,N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Occasionally (Only When Someone Remembers),No,No,No,No,No defined process for data accuracy,Minimal / ad-hoc,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,Maybe,3.3,Digital Laggard
Sood-Rajagopal,Agra,Nagaland,Transitioning MSME,Services,Online Retail Marketplaces,"Amazon, Flipkart",N/A,N/A,N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,Recorded manually in a diary or register,N/A,We track repeat customers manually using basic digital tools,N/A,We do not track customer drop-offs,N/A,Digitally (using Software/Tools),Sales & Marketing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,On Premises Software Systems,N/A,Not integrated,Digital files on local devices,Regularly (Weekly or Monthly),No,Yes,Not Applicable,Not Applicable,Regular reviews or validations,Defined security policies and controls,We are exploring or learning about AI,ChatGPT,N/A,Informal guidance,Informal plans,Yes,33.3,Digital Laggard
Prakash Inc,Bettiah,Gujarat,Transitioning MSME,Manufacturing,Digital Trade Platforms,N/A,IndiaMART,N/A,N/A,N/A,Basic Customer Software (Standard or Custom made),N/A,Recorded in Excel/Spreadsheets,N/A,We track repeat customers manually using basic digital tools,N/A,We track customer drop-offs informally or manually,N/A,Digitally (using Software/Tools),Inventory Management,N/A,N/A,N/A,Vyapar Inventory,N/A,N/A,N/A,N/A,Cloud based Software systems,N/A,Partially integrated,Digital files on local devices,Regularly (Weekly or Monthly),No,Yes,No,No,Regular reviews or validations,Basic security measures in place,We use AI in a few specific or pilot use cases,ChatGPT,ChatGPT,No guidelines,Informal plans,Yes,50.0,Digital Adopter
Agrawal Ltd,Kamarhati,Tamil Nadu,Traditionalist,Manufacturing,Manual / Partially Digital,N/A,N/A,"Social Media (WhatsApp, Facebook, Instagram)",N/A,N/A,Manually (Phone calls/In-person),N/A,Recorded manually in a diary or register,N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Occasionally (Only When Someone Remembers),No,No,No,No,No defined process for data accuracy,Basic security measures in place,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,Maybe,6.7,Digital Laggard
